n,t,y
1000,2.4700,-0.037490
1000,2.4750,-0.041216
1000,2.4800,-0.044940
1000,2.4850,-0.048660
1000,2.4900,-0.052377
1000,2.4950,-0.056091
1000,2.5000,-0.059801
1000,2.5050,-0.063508
1000,2.5100,-0.067211
1000,2.5150,-0.070910
1000,2.5200,-0.074606
1000,2.5250,-0.078298
1000,2.5300,-0.081986
1000,2.5350,-0.085669
1000,2.5400,-0.089349
1000,2.5450,-0.093024
1000,2.5500,-0.096695
1000,2.5550,-0.100362
1000,2.5600,-0.104025
1000,2.5650,-0.107682
1000,2.5700,-0.111336
1000,2.5750,-0.114984
1000,2.5800,-0.118628
1000,2.5850,-0.122267
1000,2.5900,-0.125901
1000,2.5950,-0.129530
1000,2.6000,-0.133154
1000,2.6050,-0.136772
1000,2.6100,-0.140386
1000,2.6150,-0.143994
1000,2.6200,-0.147596
1000,2.6250,-0.151194
1000,2.6300,-0.154785
1000,2.6350,-0.158371
1000,2.6400,-0.161951
1000,2.6450,-0.165526
1000,2.6500,-0.169094
1000,2.6550,-0.172656
1000,2.6600,-0.176213
1000,2.6650,-0.179763
1000,2.6700,-0.183307
1000,2.6750,-0.186845
1000,2.6800,-0.190376
1000,2.6850,-0.193901
1000,2.6900,-0.197419
1000,2.6950,-0.200931
1000,2.7000,-0.204436
1000,2.7050,-0.207934
1000,2.7100,-0.211425
1000,2.7150,-0.214910
1000,2.7200,-0.218387
1000,2.7250,-0.221857
1000,2.7300,-0.225320
1000,2.7350,-0.228776
1000,2.7400,-0.232225
1000,2.7450,-0.235666
1000,2.7500,-0.239099
1000,2.7550,-0.242525
1000,2.7600,-0.245944
1000,2.7650,-0.249354
1000,2.7700,-0.252757
1000,2.7750,-0.256152
1000,2.7800,-0.259539
1000,2.7850,-0.262918
1000,2.7900,-0.266289
1000,2.7950,-0.269652
1000,2.8000,-0.273006
1000,2.8050,-0.276352
1000,2.8100,-0.279690
1000,2.8150,-0.283019
1000,2.8200,-0.286340
1000,2.8250,-0.289652
1000,2.8300,-0.292955
1000,2.8350,-0.296249
1000,2.8400,-0.299535
1000,2.8450,-0.302812
1000,2.8500,-0.306079
1000,2.8550,-0.309338
1000,2.8600,-0.312587
1000,2.8650,-0.315827
1000,2.8700,-0.319058
1000,2.8750,-0.322280
1000,2.8800,-0.325491
1000,2.8850,-0.328694
1000,2.8900,-0.331887
1000,2.8950,-0.335070
1000,2.9000,-0.338243
1000,2.9050,-0.341407
1000,2.9100,-0.344561
1000,2.9150,-0.347704
1000,2.9200,-0.350838
1000,2.9250,-0.353961
1000,2.9300,-0.357075
1000,2.9350,-0.360178
1000,2.9400,-0.363271
1000,2.9450,-0.366353
1000,2.9500,-0.369425
1000,2.9550,-0.372486
1000,2.9600,-0.375537
1000,2.9650,-0.378577
1000,2.9700,-0.381607
1000,2.9750,-0.384625
1000,2.9800,-0.387633
1000,2.9850,-0.390630
1000,2.9900,-0.393615
1000,2.9950,-0.396590
1000,3.0000,-0.399553
1000,3.0050,-0.402505
1000,3.0100,-0.405446
1000,3.0150,-0.408376
1000,3.0200,-0.411294
1000,3.0250,-0.414201
1000,3.0300,-0.417096
1000,3.0350,-0.419979
1000,3.0400,-0.422851
1000,3.0450,-0.425711
1000,3.0500,-0.428559
1000,3.0550,-0.431395
1000,3.0600,-0.434219
1000,3.0650,-0.437032
1000,3.0700,-0.439832
1000,3.0750,-0.442620
1000,3.0800,-0.445396
1000,3.0850,-0.448159
1000,3.0900,-0.450910
1000,3.0950,-0.453649
1000,3.1000,-0.456376
1000,3.1050,-0.459089
1000,3.1100,-0.461791
1000,3.1150,-0.464479
1000,3.1200,-0.467155
1000,3.1250,-0.469818
1000,3.1300,-0.472468
1000,3.1350,-0.475106
1000,3.1400,-0.477730
1000,3.1450,-0.480341
1000,3.1500,-0.482940
1000,3.1550,-0.485525
1000,3.1600,-0.488097
1000,3.1650,-0.490655
1000,3.1700,-0.493201
1000,3.1750,-0.495733
1000,3.1800,-0.498251
1000,3.1850,-0.500756
1000,3.1900,-0.503248
1000,3.1950,-0.505726
1000,3.2000,-0.508190
1000,3.2050,-0.510640
1000,3.2100,-0.513077
1000,3.2150,-0.515500
1000,3.2200,-0.517909
1000,3.2250,-0.520304
1000,3.2300,-0.522685
1000,3.2350,-0.525052
1000,3.2400,-0.527405
1000,3.2450,-0.529744
1000,3.2500,-0.532069
1000,3.2550,-0.534379
1000,3.2600,-0.536675
1000,3.2650,-0.538957
1000,3.2700,-0.541224
1000,3.2750,-0.543476
1000,3.2800,-0.545715
1000,3.2850,-0.547938
1000,3.2900,-0.550147
1000,3.2950,-0.552342
1000,3.3000,-0.554521
1000,3.3050,-0.556686
1000,3.3100,-0.558836
1000,3.3150,-0.560971
1000,3.3200,-0.563091
1000,3.3250,-0.565196
1000,3.3300,-0.567286
1000,3.3350,-0.569362
1000,3.3400,-0.571422
1000,3.3450,-0.573466
1000,3.3500,-0.575496
1000,3.3550,-0.577510
1000,3.3600,-0.579509
1000,3.3650,-0.581493
1000,3.3700,-0.583461
1000,3.3750,-0.585414
1000,3.3800,-0.587351
1000,3.3850,-0.589273
1000,3.3900,-0.591179
1000,3.3950,-0.593070
1000,3.4000,-0.594945
1000,3.4050,-0.596804
1000,3.4100,-0.598648
1000,3.4150,-0.600476
1000,3.4200,-0.602287
1000,3.4250,-0.604084
1000,3.4300,-0.605864
1000,3.4350,-0.607628
1000,3.4400,-0.609376
1000,3.4450,-0.611108
1000,3.4500,-0.612824
1000,3.4550,-0.614524
1000,3.4600,-0.616208
1000,3.4650,-0.617876
1000,3.4700,-0.619527
1000,3.4750,-0.621162
1000,3.4800,-0.622781
1000,3.4850,-0.624384
1000,3.4900,-0.625970
1000,3.4950,-0.627539
1000,3.5000,-0.629093
1000,3.5050,-0.630630
1000,3.5100,-0.632150
1000,3.5150,-0.633654
1000,3.5200,-0.635141
1000,3.5250,-0.636611
1000,3.5300,-0.638065
1000,3.5350,-0.639503
1000,3.5400,-0.640923
1000,3.5450,-0.642327
1000,3.5500,-0.643714
